order_id,order_date,customer_id,product_id,category,region,quantity,unit_price,discount,revenue
ORD-001038,2026-01-02,CUST-0387,SPT-004,Sports,North,5,188.03,97.65,842.5
ORD-001039,2026-01-02,CUST-0079,ELEC-007,Electronics,North,2,43.17,4.37,81.97
ORD-001040,2026-01-02,CUST-0306,MOB-001,Mobile Accessories,West,7,311.75,55.09,2127.16
ORD-001041,2026-01-02,CUST-0196,ELEC-009,Electronics,West,1,306.54,18.57,287.97
ORD-001042,2026-01-02,CUST-0498,CLO-015,Clothing,East,6,172.79,151.12,885.62
ORD-001043,2026-01-02,CUST-0350,ELEC-002,Electronics,North,4,476.1,70.52,1833.88
ORD-001044,2026-01-02,CUST-0394,SPT-009,Sports,East,7,51.16,26.71,331.41
ORD-001045,2026-01-02,CUST-0151,HOME-009,Home Appliances,North,1,456.02,10.13,445.89
ORD-001046,2026-01-02,CUST-0233,CLO-011,Clothing,South,1,462.11,18.49,443.62
ORD-001047,2026-01-02,CUST-0498,ELEC-001,Electronics,East,2,196.65,29.66,363.64
ORD-001048,2026-01-02,CUST-0260,SPT-005,Sports,South,6,151.25,4.5,903.0
ORD-001049,2026-01-02,CUST-0431,ELEC-014,Electronics,East,1,117.98,11.23,106.75
ORD-001050,2026-01-02,CUST-0079,SPT-005,Sports,South,6,151.25,19.72,887.78
ORD-001051,2026-01-02,CUST-0277,CLO-003,Clothing,South,4,267.23,71.8,997.12
ORD-001052,2026-01-02,CUST-0307,SPT-008,Sports,North,6,404.07,88.03,2336.39
ORD-001053,2026-01-02,CUST-0010,HOME-007,Home Appliances,West,4,255.16,12.38,1008.26
ORD-001054,2026-01-02,CUST-0450,ELEC-015,Electronics,East,3,103.19,11.24,298.33
ORD-001055,2026-01-02,CUST-0030,HOME-005,Home Appliances,South,6,228.47,75.62,1295.2
ORD-001056,2026-01-02,CUST-0044,MOB-011,Mobile Accessories,North,4,309.66,182.72,1055.92
ORD-001057,2026-01-02,CUST-0390,SPT-003,Sports,North,6,416.94,201.05,2300.59
ORD-001058,2026-01-02,CUST-0066,SPT-009,Sports,South,1,51.16,1.16,50.0
ORD-001059,2026-01-02,CUST-0136,SPT-001,Sports,South,3,203.51,17.08,593.45
ORD-001060,2026-01-02,CUST-0494,SPT-008,Sports,West,5,404.07,260.13,1760.22
ORD-001061,2026-01-02,CUST-0366,MOB-008,Mobile Accessories,South,4,264.4,107.49,950.11
ORD-001062,2026-01-02,CUST-0344,HOME-005,Home Appliances,West,3,228.47,73.11,612.3
ORD-001063,2026-01-02,CUST-0461,CLO-003,Clothing,West,7,267.23,63.55,1807.06
ORD-001064,2026-01-02,CUST-0062,SPT-007,Sports,West,7,83.35,15.26,568.19
ORD-001065,2026-01-02,CUST-0033,MOB-012,Mobile Accessories,South,1,97.7,5.83,91.87
ORD-001066,2026-01-02,CUST-0302,HOME-009,Home Appliances,North,7,456.02,448.53,2743.61
ORD-001067,2026-01-02,CUST-0004,MOB-010,Mobile Accessories,South,1,37.53,3.8,33.73
ORD-001068,2026-01-02,CUST-0118,ELEC-010,Electronics,North,1,358.42,6.1,352.32
ORD-001069,2026-01-02,CUST-0441,ELEC-009,Electronics,North,7,306.54,174.27,1971.51
ORD-001070,2026-01-02,CUST-0264,HOME-008,Home Appliances,North,2,31.68,2.45,60.91
ORD-001071,2026-01-02,CUST-0343,MOB-011,Mobile Accessories,East,4,309.66,32.51,1206.13
ORD-001072,2026-01-02,CUST-0277,SPT-003,Sports,South,1,416.94,32.31,384.63
ORD-001073,2026-01-02,CUST-0125,ELEC-017,Electronics,West,1,162.56,5.9,156.66
ORD-001074,2026-01-02,CUST-0098,SPT-001,Sports,West,6,203.51,164.33,1056.73
ORD-001075,2026-01-02,CUST-0338,ELEC-013,Electronics,North,5,418.73,277.19,1816.46
ORD-001076,2026-01-02,CUST-0217,CLO-011,Clothing,East,7,462.11,164.5,3070.27
ORD-001077,2026-01-02,CUST-0443,CLO-008,Clothing,West,3,470.66,148.33,1263.65
ORD-001078,2026-01-02,CUST-0032,ELEC-007,Electronics,North,3,43.17,16.64,112.87
ORD-001079,2026-01-02,CUST-0410,CLO-007,Clothing,East,6,390.94,274.4,2071.24
ORD-001080,2026-01-02,CUST-0099,ELEC-014,Electronics,South,4,117.98,5.96,465.96
ORD-001081,2026-01-02,CUST-0072,MOB-005,Mobile Accessories,West,4,236.19,127.34,817.42
ORD-001082,2026-01-02,CUST-0143,CLO-010,Clothing,South,4,304.98,106.26,1113.66
ORD-001083,2026-01-02,CUST-0448,CLO-015,Clothing,South,6,172.79,146.2,890.54
ORD-001084,2026-01-02,CUST-0414,ELEC-010,Electronics,West,1,358.42,0.27,358.15
ORD-001085,2026-01-02,CUST-0334,ELEC-013,Electronics,North,6,418.73,206.79,2305.59
ORD-001086,2026-01-02,CUST-0497,SPT-010,Sports,North,6,493.64,199.22,2762.62
ORD-001087,2026-01-02,CUST-0086,ELEC-012,Electronics,South,5,485.41,81.65,2345.4
ORD-001088,2026-01-02,CUST-0247,CLO-008,Clothing,West,1,470.66,1.28,469.38
ORD-001089,2026-01-03,CUST-0463,MOB-008,Mobile Accessories,West,5,264.4,35.46,1286.54
ORD-001090,2026-01-03,CUST-0195,ELEC-008,Electronics,South,7,435.1,329.37,2716.33
ORD-001091,2026-01-03,CUST-0136,ELEC-001,Electronics,West,1,196.65,16.0,180.65
ORD-001092,2026-01-03,CUST-0217,CLO-014,Clothing,East,3,36.94,6.11,104.71
ORD-001093,2026-01-03,CUST-0098,SPT-003,Sports,South,7,416.94,109.65,2808.93
ORD-001094,2026-01-03,CUST-0496,HOME-003,Home Appliances,South,6,62.37,54.62,319.6
ORD-001095,2026-01-03,CUST-0383,ELEC-008,Electronics,North,5,435.1,158.84,2016.66
ORD-001096,2026-01-03,CUST-0026,HOME-006,Home Appliances,North,3,74.19,14.5,208.07
ORD-001097,2026-01-03,CUST-0030,SPT-002,Sports,South,5,146.6,55.26,677.74
ORD-001098,2026-01-03,CUST-0436,SPT-006,Sports,North,4,278.21,111.66,1001.18
ORD-001099,2026-01-03,CUST-0305,MOB-004,Mobile Accessories,North,1,192.69,5.64,187.05
ORD-001100,2026-01-03,CUST-0207,ELEC-009,Electronics,South,5,306.54,114.77,1417.93
ORD-001101,2026-01-03,CUST-0297,ELEC-016,Electronics,South,4,103.95,1.52,414.28
ORD-001102,2026-01-03,CUST-0215,ELEC-006,Electronics,North,1,90.66,0.59,90.07
ORD-001103,2026-01-03,CUST-0479,SPT-007,Sports,East,4,83.35,47.03,286.37
ORD-001104,2026-01-03,CUST-0343,MOB-014,Mobile Accessories,South,5,475.21,99.64,2276.41
ORD-001105,2026-01-03,CUST-0136,HOME-006,Home Appliances,South,6,74.19,24.72,420.42
ORD-001106,2026-01-03,CUST-0344,CLO-006,Clothing,South,1,485.25,69.37,415.88
ORD-001107,2026-01-03,CUST-0162,HOME-004,Home Appliances,West,5,346.85,111.39,1622.86
ORD-001108,2026-01-03,CUST-0235,ELEC-010,Electronics,North,5,358.42,153.84,1638.26
ORD-001109,2026-01-03,CUST-0276,ELEC-013,Electronics,North,4,418.73,214.31,1460.61
ORD-001110,2026-01-03,CUST-0068,MOB-008,Mobile Accessories,East,7,264.4,84.87,1765.93
ORD-001111,2026-01-03,CUST-0451,HOME-010,Home Appliances,North,7,140.51,39.61,943.96
ORD-001112,2026-01-03,CUST-0146,MOB-012,Mobile Accessories,East,3,97.7,7.45,285.65
ORD-001113,2026-01-03,CUST-0427,MOB-001,Mobile Accessories,West,1,311.75,18.46,293.29
ORD-001114,2026-01-03,CUST-0314,SPT-010,Sports,East,6,493.64,309.23,2652.61
ORD-001115,2026-01-03,CUST-0342,SPT-008,Sports,North,6,404.07,35.34,2389.08
ORD-001116,2026-01-03,CUST-0481,HOME-004,Home Appliances,North,7,346.85,360.57,2067.38
ORD-001117,2026-01-03,CUST-0060,ELEC-018,Electronics,East,2,269.51,20.55,518.47
ORD-001118,2026-01-03,CUST-0140,ELEC-014,Electronics,South,2,117.98,31.05,204.91
ORD-001119,2026-01-03,CUST-0368,HOME-002,Home Appliances,South,1,162.74,20.72,142.02
ORD-001120,2026-01-03,CUST-0352,HOME-009,Home Appliances,South,1,456.02,48.05,407.97
ORD-001121,2026-01-03,CUST-0129,MOB-014,Mobile Accessories,West,7,475.21,146.49,3179.98
ORD-001122,2026-01-03,CUST-0325,ELEC-007,Electronics,North,7,43.17,19.03,283.16
ORD-001123,2026-01-03,CUST-0023,CLO-010,Clothing,East,2,304.98,79.33,530.63
ORD-001124,2026-01-03,CUST-0395,ELEC-001,Electronics,East,5,196.65,12.03,971.22
ORD-001125,2026-01-03,CUST-0083,ELEC-017,Electronics,East,7,162.56,85.6,1052.32
ORD-001126,2026-01-03,CUST-0288,CLO-012,Clothing,West,5,57.92,8.44,281.16
ORD-001127,2026-01-03,CUST-0039,ELEC-002,Electronics,North,6,476.1,340.99,2515.61
ORD-001128,2026-01-03,CUST-0428,ELEC-020,Electronics,North,4,156.25,83.12,541.88
ORD-001129,2026-01-03,CUST-0221,CLO-003,Clothing,South,7,267.23,105.39,1765.22
ORD-001130,2026-01-03,CUST-0158,ELEC-017,Electronics,North,2,162.56,21.38,303.74
ORD-001131,2026-01-03,CUST-0461,CLO-002,Clothing,North,7,166.18,6.27,1156.99
ORD-001132,2026-01-03,CUST-0350,CLO-001,Clothing,South,1,336.32,7.82,328.5
ORD-001133,2026-01-03,CUST-0182,MOB-012,Mobile Accessories,North,6,97.7,25.2,561.0
ORD-001134,2026-01-03,CUST-0474,CLO-008,Clothing,South,2,470.66,121.49,819.83
ORD-001135,2026-01-03,CUST-0500,MOB-011,Mobile Accessories,South,1,309.66,1.73,307.93
ORD-001136,2026-01-03,CUST-0013,MOB-003,Mobile Accessories,West,6,156.69,42.77,897.37
ORD-001137,2026-01-04,CUST-0401,MOB-003,Mobile Accessories,East,4,156.69,30.71,596.05
ORD-001138,2026-01-04,CUST-0137,CLO-008,Clothing,South,5,470.66,95.85,2257.45
ORD-001139,2026-01-04,CUST-0196,MOB-001,Mobile Accessories,North,4,311.75,116.51,1130.49
ORD-001140,2026-01-04,CUST-0114,ELEC-005,Electronics,West,4,90.67,45.81,316.87
ORD-001141,2026-01-04,CUST-0180,MOB-006,Mobile Accessories,West,4,395.81,97.69,1485.55
ORD-001142,2026-01-04,CUST-0115,HOME-005,Home Appliances,South,3,228.47,65.54,619.87
ORD-001143,2026-01-04,CUST-0205,ELEC-004,Electronics,South,4,305.35,24.32,1197.08
ORD-001144,2026-01-04,CUST-0443,HOME-008,Home Appliances,East,2,31.68,4.91,58.45
ORD-001145,2026-01-04,CUST-0180,ELEC-009,Electronics,East,6,306.54,11.33,1827.91
ORD-001146,2026-01-04,CUST-0348,SPT-006,Sports,West,7,278.21,126.64,1820.83
ORD-001147,2026-01-04,CUST-0481,SPT-009,Sports,East,2,51.16,1.2,101.12
ORD-001148,2026-01-04,CUST-0450,ELEC-004,Electronics,North,5,305.35,42.21,1484.54
ORD-001149,2026-01-04,CUST-0298,MOB-014,Mobile Accessories,South,6,475.21,357.54,2493.72
ORD-001150,2026-01-04,CUST-0056,MOB-014,Mobile Accessories,North,1,475.21,49.08,426.13
ORD-001151,2026-01-04,CUST-0374,CLO-011,Clothing,East,1,462.11,12.01,450.1
ORD-001152,2026-01-04,CUST-0311,HOME-006,Home Appliances,West,1,74.19,4.92,69.27
ORD-001153,2026-01-04,CUST-0198,SPT-006,Sports,North,6,278.21,23.5,1645.76
ORD-001154,2026-01-04,CUST-0023,MOB-005,Mobile Accessories,East,1,236.19,23.39,212.8
ORD-001155,2026-01-04,CUST-0267,CLO-011,Clothing,North,5,462.11,221.21,2089.34
ORD-001156,2026-01-04,CUST-0187,SPT-009,Sports,South,5,51.16,28.31,227.49
ORD-001157,2026-01-04,CUST-0486,CLO-011,Clothing,North,7,462.11,211.4,3023.37
ORD-001158,2026-01-04,CUST-0340,HOME-008,Home Appliances,East,5,31.68,9.97,148.43
ORD-001159,2026-01-04,CUST-0260,ELEC-016,Electronics,East,4,103.95,35.3,380.5
ORD-001160,2026-01-04,CUST-0168,HOME-005,Home Appliances,West,3,228.47,77.92,607.49
ORD-001161,2026-01-04,CUST-0284,CLO-007,Clothing,East,1,390.94,20.05,370.89
ORD-001162,2026-01-04,CUST-0216,ELEC-017,Electronics,South,4,162.56,4.49,645.75
ORD-001163,2026-01-04,CUST-0316,CLO-004,Clothing,South,1,280.15,13.09,267.06
ORD-001164,2026-01-04,CUST-0281,HOME-004,Home Appliances,West,6,346.85,219.66,1861.44
ORD-001165,2026-01-04,CUST-0147,ELEC-001,Electronics,East,4,196.65,2.02,784.58
ORD-001166,2026-01-04,CUST-0403,MOB-007,Mobile Accessories,West,2,111.84,16.49,207.19
ORD-001167,2026-01-04,CUST-0227,HOME-007,Home Appliances,West,7,255.16,92.78,1693.34
ORD-001168,2026-01-04,CUST-0262,CLO-012,Clothing,South,6,57.92,22.62,324.9
ORD-001169,2026-01-04,CUST-0338,SPT-001,Sports,South,7,203.51,10.27,1414.3
ORD-001170,2026-01-04,CUST-0264,ELEC-011,Electronics,East,6,24.98,14.28,135.6
ORD-001171,2026-01-04,CUST-0420,HOME-008,Home Appliances,North,2,31.68,2.48,60.88
ORD-001172,2026-01-04,CUST-0116,MOB-011,Mobile Accessories,East,2,309.66,58.14,561.18
ORD-001173,2026-01-04,CUST-0013,MOB-006,Mobile Accessories,South,2,395.81,59.49,732.13
ORD-001174,2026-01-04,CUST-0244,ELEC-006,Electronics,South,5,90.66,46.51,406.79
ORD-001175,2026-01-04,CUST-0213,ELEC-010,Electronics,West,7,358.42,355.36,2153.58
ORD-001176,2026-01-04,CUST-0254,MOB-005,Mobile Accessories,West,4,236.19,83.01,861.75
ORD-001177,2026-01-04,CUST-0076,CLO-007,Clothing,South,3,390.94,140.91,1031.91
ORD-001178,2026-01-04,CUST-0399,ELEC-001,Electronics,North,4,196.65,45.8,740.8
ORD-001179,2026-01-04,CUST-0091,CLO-010,Clothing,South,4,304.98,23.51,1196.41
ORD-001180,2026-01-04,CUST-0026,SPT-007,Sports,West,5,83.35,34.11,382.64
ORD-001181,2026-01-04,CUST-0234,MOB-012,Mobile Accessories,North,5,97.7,45.87,442.63
ORD-001182,2026-01-05,CUST-0342,ELEC-018,Electronics,West,1,269.51,26.34,243.17
ORD-001183,2026-01-05,CUST-0487,SPT-008,Sports,East,3,404.07,35.6,1176.61
ORD-001184,2026-01-05,CUST-0426,CLO-012,Clothing,West,5,57.92,9.32,280.28
ORD-001185,2026-01-05,CUST-0381,CLO-013,Clothing,South,6,110.05,1.8,658.5
ORD-001186,2026-01-05,CUST-0133,SPT-001,Sports,West,3,203.51,56.62,553.91
ORD-001187,2026-01-05,CUST-0393,MOB-012,Mobile Accessories,East,7,97.7,7.3,676.6
ORD-001188,2026-01-05,CUST-0321,SPT-007,Sports,West,5,83.35,52.82,363.93
ORD-001189,2026-01-05,CUST-0226,MOB-011,Mobile Accessories,East,2,309.66,31.64,587.68
ORD-001190,2026-01-05,CUST-0121,ELEC-010,Electronics,East,3,358.42,45.46,1029.8
ORD-001191,2026-01-05,CUST-0164,MOB-015,Mobile Accessories,East,4,483.33,200.94,1732.38
ORD-001192,2026-01-05,CUST-0071,SPT-010,Sports,North,2,493.64,93.14,894.14
ORD-001193,2026-01-05,CUST-0197,ELEC-020,Electronics,South,5,156.25,4.59,776.66
ORD-001194,2026-01-05,CUST-0033,ELEC-020,Electronics,South,1,156.25,18.83,137.42
ORD-001195,2026-01-05,CUST-0170,CLO-009,Clothing,West,1,448.99,36.91,412.08
ORD-001196,2026-01-05,CUST-0213,SPT-010,Sports,West,5,493.64,277.9,2190.3
ORD-001197,2026-01-05,CUST-0427,ELEC-008,Electronics,South,3,435.1,193.94,1111.36
ORD-001198,2026-01-05,CUST-0464,CLO-009,Clothing,West,4,448.99,100.22,1695.74
ORD-001199,2026-01-05,CUST-0245,ELEC-003,Electronics,West,7,370.02,225.55,2364.59
ORD-001200,2026-01-05,CUST-0153,ELEC-001,Electronics,East,7,196.65,192.19,1184.36
ORD-001201,2026-01-05,CUST-0276,CLO-005,Clothing,West,5,104.65,18.73,504.52
ORD-001202,2026-01-05,CUST-0250,SPT-010,Sports,South,7,493.64,389.19,3066.29
ORD-001203,2026-01-05,CUST-0224,MOB-009,Mobile Accessories,East,1,302.32,10.8,291.52
ORD-001204,2026-01-05,CUST-0200,SPT-003,Sports,North,6,416.94,338.68,2162.96
ORD-001205,2026-01-05,CUST-0371,HOME-009,Home Appliances,West,6,456.02,203.8,2532.32
ORD-001206,2026-01-05,CUST-0471,MOB-002,Mobile Accessories,West,1,82.65,3.97,78.68
ORD-001207,2026-01-05,CUST-0465,ELEC-017,Electronics,North,3,162.56,7.31,480.37
ORD-001208,2026-01-05,CUST-0043,CLO-006,Clothing,North,4,485.25,3.16,1937.84
ORD-001209,2026-01-05,CUST-0444,CLO-010,Clothing,South,1,304.98,38.75,266.23
ORD-001210,2026-01-05,CUST-0026,CLO-015,Clothing,South,1,172.79,8.28,164.51
ORD-001211,2026-01-05,CUST-0168,MOB-014,Mobile Accessories,West,6,475.21,289.45,2561.81
ORD-001212,2026-01-05,CUST-0168,MOB-008,Mobile Accessories,West,4,264.4,90.97,966.63
ORD-001213,2026-01-05,CUST-0143,HOME-009,Home Appliances,West,7,456.02,39.88,3152.26
ORD-001214,2026-01-05,CUST-0428,CLO-009,Clothing,East,5,448.99,98.74,2146.21
ORD-001215,2026-01-05,CUST-0010,ELEC-011,Electronics,West,1,24.98,2.07,22.91
ORD-001216,2026-01-05,CUST-0488,SPT-010,Sports,North,5,493.64,278.55,2189.65
ORD-001217,2026-01-06,CUST-0333,HOME-010,Home Appliances,South,1,140.51,2.39,138.12
ORD-001218,2026-01-06,CUST-0387,ELEC-009,Electronics,North,5,306.54,113.67,1419.03
ORD-001219,2026-01-06,CUST-0103,ELEC-004,Electronics,South,7,305.35,319.31,1818.14
ORD-001220,2026-01-06,CUST-0123,ELEC-003,Electronics,South,2,370.02,49.01,691.03
ORD-001221,2026-01-06,CUST-0343,ELEC-017,Electronics,West,7,162.56,93.18,1044.74
ORD-001222,2026-01-06,CUST-0239,ELEC-015,Electronics,South,3,103.19,5.44,304.13
ORD-001223,2026-01-06,CUST-0086,MOB-013,Mobile Accessories,East,4,46.55,19.22,166.98
ORD-001224,2026-01-06,CUST-0494,ELEC-015,Electronics,South,2,103.19,19.14,187.24
ORD-001225,2026-01-06,CUST-0297,HOME-005,Home Appliances,North,5,228.47,143.68,998.67
ORD-001226,2026-01-06,CUST-0295,ELEC-004,Electronics,East,6,305.35,192.64,1639.46
ORD-001227,2026-01-06,CUST-0483,CLO-004,Clothing,West,2,280.15,33.34,526.96
ORD-001228,2026-01-06,CUST-0304,MOB-006,Mobile Accessories,North,3,395.81,125.79,1061.64
ORD-001229,2026-01-06,CUST-0357,MOB-012,Mobile Accessories,North,5,97.7,37.61,450.89
ORD-001230,2026-01-06,CUST-0408,HOME-004,Home Appliances,North,6,346.85,307.99,1773.11
ORD-001231,2026-01-06,CUST-0273,ELEC-006,Electronics,East,5,90.66,25.2,428.1
ORD-001232,2026-01-06,CUST-0036,CLO-010,Clothing,East,4,304.98,43.31,1176.61
ORD-001233,2026-01-06,CUST-0007,SPT-005,Sports,East,7,151.25,156.59,902.16
ORD-001234,2026-01-06,CUST-0055,CLO-009,Clothing,West,4,448.99,94.35,1701.61
ORD-001235,2026-01-06,CUST-0326,CLO-011,Clothing,East,4,462.11,23.15,1825.29
ORD-001236,2026-01-06,CUST-0223,CLO-014,Clothing,South,5,36.94,10.47,174.23
ORD-001237,2026-01-06,CUST-0316,MOB-003,Mobile Accessories,East,7,156.69,69.79,1027.04
ORD-001238,2026-01-06,CUST-0239,SPT-009,Sports,West,2,51.16,5.07,97.25
ORD-001239,2026-01-06,CUST-0166,CLO-011,Clothing,East,6,462.11,204.88,2567.78
ORD-001240,2026-01-06,CUST-0143,MOB-012,Mobile Accessories,North,5,97.7,29.69,458.81
ORD-001241,2026-01-06,CUST-0385,CLO-013,Clothing,South,6,110.05,5.58,654.72
ORD-001242,2026-01-06,CUST-0173,CLO-015,Clothing,West,4,172.79,79.54,611.62
ORD-001243,2026-01-06,CUST-0436,ELEC-004,Electronics,West,7,305.35,208.15,1929.3
ORD-001244,2026-01-06,CUST-0250,HOME-007,Home Appliances,South,1,255.16,26.07,229.09
ORD-001245,2026-01-06,CUST-0409,MOB-008,Mobile Accessories,East,4,264.4,152.64,904.96
ORD-001246,2026-01-06,CUST-0144,MOB-014,Mobile Accessories,East,7,475.21,238.37,3088.1
ORD-001247,2026-01-06,CUST-0265,HOME-001,Home Appliances,North,1,407.07,53.04,354.03
ORD-001248,2026-01-06,CUST-0124,MOB-005,Mobile Accessories,North,6,236.19,92.75,1324.39
ORD-001249,2026-01-06,CUST-0285,CLO-008,Clothing,West,2,470.66,1.72,939.6
ORD-001250,2026-01-06,CUST-0331,MOB-011,Mobile Accessories,West,5,309.66,10.02,1538.28
ORD-001251,2026-01-06,CUST-0406,SPT-003,Sports,West,5,416.94,13.57,2071.13
ORD-001252,2026-01-06,CUST-0151,ELEC-003,Electronics,North,5,370.02,275.56,1574.54
ORD-001253,2026-01-06,CUST-0355,MOB-009,Mobile Accessories,West,5,302.32,57.36,1454.24
ORD-001254,2026-01-06,CUST-0340,MOB-012,Mobile Accessories,East,3,97.7,42.62,250.48
ORD-001255,2026-01-06,CUST-0284,CLO-003,Clothing,West,2,267.23,13.33,521.13
ORD-001256,2026-01-06,CUST-0218,SPT-008,Sports,East,1,404.07,42.17,361.9
ORD-001257,2026-01-06,CUST-0360,HOME-008,Home Appliances,East,7,31.68,33.13,188.63
ORD-001258,2026-01-06,CUST-0157,CLO-014,Clothing,East,6,36.94,19.43,202.21
ORD-001259,2026-01-06,CUST-0062,MOB-013,Mobile Accessories,South,7,46.55,2.22,323.63
ORD-001260,2026-01-06,CUST-0062,MOB-005,Mobile Accessories,East,4,236.19,135.86,808.9
ORD-001261,2026-01-06,CUST-0099,SPT-009,Sports,South,6,51.16,20.98,285.98
ORD-001262,2026-01-06,CUST-0142,MOB-008,Mobile Accessories,West,4,264.4,53.25,1004.35
ORD-001263,2026-01-06,CUST-0052,SPT-008,Sports,East,2,404.07,22.8,785.34
ORD-001264,2026-01-06,CUST-0117,MOB-005,Mobile Accessories,East,2,236.19,27.51,444.87
ORD-001265,2026-01-06,CUST-0155,CLO-002,Clothing,South,4,166.18,58.2,606.52
ORD-001266,2026-01-06,CUST-0141,ELEC-002,Electronics,South,4,476.1,102.94,1801.46
ORD-001267,2026-01-07,CUST-0284,ELEC-006,Electronics,North,3,90.66,28.48,243.5
ORD-001268,2026-01-07,CUST-0327,HOME-003,Home Appliances,South,1,62.37,2.62,59.75
ORD-001269,2026-01-07,CUST-0447,SPT-003,Sports,North,5,416.94,254.48,1830.22
ORD-001270,2026-01-07,CUST-0241,ELEC-002,Electronics,East,4,476.1,77.4,1827.0
ORD-001271,2026-01-07,CUST-0175,SPT-002,Sports,West,5,146.6,100.16,632.84
ORD-001272,2026-01-07,CUST-0130,MOB-004,Mobile Accessories,North,5,192.69,135.92,827.53
ORD-001273,2026-01-07,CUST-0421,SPT-002,Sports,North,3,146.6,47.88,391.92
ORD-001274,2026-01-07,CUST-0252,ELEC-009,Electronics,West,7,306.54,295.85,1849.93
ORD-001275,2026-01-07,CUST-0078,ELEC-010,Electronics,North,2,358.42,100.29,616.55
ORD-001276,2026-01-07,CUST-0044,ELEC-020,Electronics,East,2,156.25,25.86,286.64
ORD-001277,2026-01-07,CUST-0286,MOB-012,Mobile Accessories,North,5,97.7,1.93,486.57
ORD-001278,2026-01-07,CUST-0398,CLO-009,Clothing,South,1,448.99,52.37,396.62
ORD-001279,2026-01-07,CUST-0231,SPT-007,Sports,West,2,83.35,24.69,142.01
